BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;EINGELBRIEF;UNGUELTIGBRIEF;EINGELURNEN
4107;Mülligen;2018-11-25;740.0;322.0;8.0;1.0;313.0;115.0;198.0;322.0;4.0;7.0
4110;Remigen;2018-11-25;764.0;415.0;2.0;0.0;413.0;137.0;276.0;418.0;3.0;5.0
4111;Riniken;2018-11-25;982.0;519.0;10.0;0.0;509.0;222.0;287.0;529.0;9.0;14.0
4112;Rüfenach;2018-11-25;636.0;333.0;6.0;0.0;327.0;129.0;198.0;344.0;4.0;8.0
4114;Schinznach-Bad;2018-11-25;779.0;361.0;5.0;0.0;356.0;111.0;245.0;371.0;6.0;2.0
4117;Thalheim (AG);2018-11-25;634.0;338.0;0.0;2.0;336.0;90.0;246.0;332.0;3.0;14.0
4120;Veltheim (AG);2018-11-25;1000.0;490.0;9.0;4.0;477.0;171.0;306.0;485.0;9.0;22.0
4121;Villigen;2018-11-25;1266.0;633.0;3.0;2.0;628.0;290.0;338.0;619.0;13.0;41.0
4122;Villnachern;2018-11-25;1102.0;552.0;7.0;0.0;545.0;176.0;369.0;590.0;11.0;6.0
4123;Windisch;2018-11-25;4449.0;2083.0;47.0;1.0;2035.0;813.0;1222.0;2092.0;22.0;43.0
4124;Bözberg;2018-11-25;1187.0;589.0;11.0;0.0;578.0;195.0;383.0;598.0;4.0;11.0
4125;Schinznach;2018-11-25;1576.0;802.0;14.0;0.0;788.0;256.0;532.0;788.0;8.0;44.0
4131;Beinwil am See;2018-11-25;2308.0;1113.0;21.0;0.0;1092.0;402.0;690.0;1135.0;11.0;30.0
4132;Birrwil;2018-11-25;873.0;459.0;15.0;0.0;444.0;153.0;291.0;466.0;5.0;14.0
4133;Burg (AG);2018-11-25;562.0;228.0;8.0;0.0;220.0;82.0;138.0;208.0;0.0;23.0
4134;Dürrenäsch;2018-11-25;886.0;411.0;4.0;0.0;407.0;135.0;272.0;416.0;6.0;9.0
4135;Gontenschwil;2018-11-25;1476.0;616.0;5.0;0.0;611.0;228.0;383.0;572.0;6.0;62.0
4136;Holziken;2018-11-25;996.0;402.0;7.0;0.0;395.0;188.0;207.0;396.0;1.0;20.0
4137;Leimbach (AG);2018-11-25;324.0;168.0;2.0;0.0;166.0;46.0;120.0;167.0;2.0;5.0
4138;Leutwil;2018-11-25;587.0;323.0;5.0;0.0;318.0;133.0;185.0;275.0;5.0;54.0
4139;Menziken;2018-11-25;3160.0;1208.0;17.0;0.0;1191.0;425.0;766.0;1225.0;6.0;25.0
4140;Oberkulm;2018-11-25;1707.0;806.0;6.0;0.0;800.0;352.0;448.0;799.0;5.0;28.0
4141;Reinach (AG);2018-11-25;4327.0;1586.0;21.0;10.0;1555.0;568.0;987.0;1586.0;15.0;55.0
4142;Schlossrued;2018-11-25;633.0;278.0;6.0;0.0;272.0;126.0;146.0;249.0;1.0;37.0
4143;Schmiedrued;2018-11-25;878.0;392.0;5.0;0.0;387.0;178.0;209.0;379.0;2.0;28.0
4144;Schöftland;2018-11-25;3064.0;1290.0;20.0;0.0;1270.0;522.0;748.0;1344.0;15.0;11.0
4145;Teufenthal (AG);2018-11-25;1057.0;445.0;6.0;0.0;439.0;175.0;264.0;428.0;4.0;29.0
4146;Unterkulm;2018-11-25;1811.0;788.0;9.0;4.0;775.0;316.0;459.0;798.0;17.0;25.0
4147;Zetzwil;2018-11-25;944.0;471.0;0.0;0.0;471.0;173.0;298.0;452.0;1.0;26.0
4161;Eiken;2018-11-25;1480.0;587.0;11.0;0.0;576.0;220.0;356.0;579.0;2.0;20.0
4163;Frick;2018-11-25;3356.0;1467.0;26.0;1.0;1440.0;469.0;971.0;1494.0;21.0;38.0
4164;Gansingen;2018-11-25;766.0;420.0;6.0;0.0;414.0;187.0;227.0;407.0;3.0;23.0
4165;Gipf-Oberfrick;2018-11-25;2489.0;1177.0;34.0;0.0;1143.0;371.0;772.0;1147.0;16.0;82.0
4166;Herznach;2018-11-25;1058.0;542.0;8.0;3.0;531.0;181.0;350.0;530.0;6.0;20.0
4167;Hornussen;2018-11-25;629.0;257.0;6.0;0.0;251.0;83.0;168.0;250.0;2.0;18.0
4169;Kaisten;2018-11-25;1807.0;801.0;12.0;0.0;789.0;304.0;485.0;822.0;9.0;38.0
4170;Laufenburg;2018-11-25;1966.0;961.0;15.0;0.0;946.0;392.0;554.0;959.0;6.0;22.0
4172;Münchwilen (AG);2018-11-25;555.0;258.0;6.0;0.0;252.0;88.0;164.0;244.0;1.0;19.0
4173;Oberhof;2018-11-25;409.0;198.0;0.0;0.0;198.0;79.0;119.0;187.0;0.0;18.0
4175;Oeschgen;2018-11-25;693.0;320.0;4.0;0.0;316.0;102.0;214.0;309.0;2.0;22.0
4176;Schwaderloch;2018-11-25;426.0;172.0;3.0;0.0;169.0;84.0;85.0;174.0;4.0;7.0
4177;Sisseln;2018-11-25;988.0;339.0;5.0;0.0;334.0;99.0;235.0;348.0;4.0;8.0
4179;Ueken;2018-11-25;605.0;272.0;0.0;1.0;271.0;103.0;168.0;270.0;2.0;10.0
4181;Wittnau;2018-11-25;954.0;459.0;12.0;0.0;447.0;151.0;296.0;458.0;4.0;17.0
4182;Wölflinswil;2018-11-25;755.0;376.0;10.0;0.0;366.0;143.0;223.0;371.0;4.0;9.0
4183;Zeihen;2018-11-25;800.0;388.0;8.0;0.0;380.0;118.0;262.0;389.0;8.0;17.0
4184;Mettauertal;2018-11-25;1461.0;745.0;14.0;0.0;731.0;305.0;426.0;753.0;10.0;19.0
4191;Ammerswil;2018-11-25;474.0;204.0;4.0;0.0;200.0;82.0;118.0;211.0;5.0;4.0
4192;Boniswil;2018-11-25;1009.0;489.0;5.0;0.0;484.0;158.0;326.0;512.0;8.0;3.0
4193;Brunegg;2018-11-25;533.0;205.0;1.0;0.0;204.0;66.0;138.0;215.0;7.0;5.0
4194;Dintikon;2018-11-25;1321.0;598.0;9.0;1.0;588.0;194.0;394.0;614.0;6.0;7.0
4195;Egliswil;2018-11-25;1039.0;523.0;10.0;0.0;513.0;166.0;347.0;520.0;0.0;23.0
4196;Fahrwangen;2018-11-25;1327.0;491.0;8.0;0.0;483.0;171.0;312.0;509.0;8.0;14.0
4197;Hallwil;2018-11-25;602.0;237.0;4.0;0.0;233.0;80.0;153.0;231.0;3.0;13.0
4198;Hendschiken;2018-11-25;834.0;306.0;10.0;0.0;296.0;108.0;188.0;316.0;1.0;3.0
4199;Holderbank (AG);2018-11-25;738.0;269.0;13.0;0.0;256.0;80.0;176.0;278.0;4.0;3.0
4200;Hunzenschwil;2018-11-25;2334.0;797.0;24.0;1.0;772.0;255.0;517.0;801.0;4.0;34.0
4201;Lenzburg;2018-11-25;6385.0;2991.0;72.0;0.0;2919.0;1048.0;1871.0;3048.0;39.0;129.0
4202;Meisterschwanden;2018-11-25;2089.0;973.0;21.0;0.0;952.0;293.0;659.0;1006.0;9.0;19.0
4203;Möriken-Wildegg;2018-11-25;2813.0;1376.0;18.0;0.0;1358.0;397.0;961.0;1397.0;6.0;23.0
4204;Niederlenz;2018-11-25;2671.0;1102.0;19.0;0.0;1083.0;415.0;668.0;1117.0;22.0;36.0
4205;Othmarsingen;2018-11-25;1729.0;674.0;13.0;0.0;661.0;237.0;424.0;688.0;7.0;28.0
4206;Rupperswil;2018-11-25;3435.0;1421.0;21.0;0.0;1400.0;460.0;940.0;1456.0;24.0;29.0
4207;Schafisheim;2018-11-25;1974.0;963.0;18.0;0.0;945.0;383.0;562.0;993.0;22.0;24.0
4208;Seengen;2018-11-25;2816.0;1413.0;17.0;1.0;1395.0;454.0;941.0;1415.0;14.0;58.0
4209;Seon;2018-11-25;3202.0;1788.0;33.0;15.0;1740.0;754.0;986.0;1877.0;55.0;54.0
