BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
4260;Stein (AG);2020-09-27;1593.0;759.0;10.0;...;749.0;333.0;416.0;753.0;16.0;...;29.0
4261;Wallbach;2020-09-27;1400.0;819.0;8.0;...;811.0;384.0;427.0;821.0;13.0;...;19.0
4262;Wegenstetten;2020-09-27;771.0;445.0;9.0;...;436.0;224.0;212.0;440.0;6.0;...;12.0
4263;Zeiningen;2020-09-27;1624.0;891.0;6.0;1.0;884.0;384.0;500.0;885.0;8.0;...;16.0
4264;Zuzgen;2020-09-27;639.0;371.0;5.0;...;366.0;173.0;193.0;367.0;5.0;...;12.0
4271;Aarburg;2020-09-27;3992.0;1876.0;24.0;...;1852.0;825.0;1027.0;1894.0;46.0;...;50.0
4273;Bottenwil;2020-09-27;602.0;351.0;6.0;...;345.0;184.0;161.0;346.0;10.0;...;19.0
4274;Brittnau;2020-09-27;2887.0;1704.0;15.0;...;1689.0;895.0;794.0;1646.0;16.0;...;91.0
4275;Kirchleerau;2020-09-27;628.0;382.0;2.0;...;380.0;204.0;176.0;381.0;1.0;...;11.0
4276;Kölliken;2020-09-27;2897.0;1583.0;32.0;...;1551.0;666.0;885.0;1599.0;28.0;...;27.0
4277;Moosleerau;2020-09-27;641.0;381.0;5.0;...;376.0;232.0;144.0;388.0;5.0;...;6.0
4279;Murgenthal;2020-09-27;1985.0;999.0;12.0;1.0;986.0;523.0;463.0;956.0;28.0;...;78.0
4280;Oftringen;2020-09-27;7289.0;3400.0;53.0;1.0;3346.0;1569.0;1777.0;3297.0;35.0;...;188.0
4281;Reitnau;2020-09-27;1063.0;650.0;11.0;...;639.0;339.0;300.0;659.0;12.0;...;14.0
4282;Rothrist;2020-09-27;5676.0;2755.0;47.0;...;2708.0;1298.0;1410.0;2745.0;53.0;...;98.0
4283;Safenwil;2020-09-27;2532.0;1245.0;24.0;...;1221.0;582.0;639.0;1232.0;11.0;...;42.0
4284;Staffelbach;2020-09-27;903.0;490.0;6.0;...;484.0;244.0;240.0;484.0;2.0;...;10.0
4285;Strengelbach;2020-09-27;2949.0;1577.0;20.0;1.0;1556.0;776.0;780.0;1551.0;36.0;...;67.0
4286;Uerkheim;2020-09-27;1011.0;579.0;6.0;...;573.0;298.0;275.0;584.0;10.0;...;12.0
4287;Vordemwald;2020-09-27;1485.0;873.0;5.0;...;868.0;441.0;427.0;851.0;16.0;...;43.0
4288;Wiliberg;2020-09-27;138.0;102.0;1.0;1.0;100.0;59.0;41.0;96.0;1.0;...;7.0
4289;Zofingen;2020-09-27;8123.0;4998.0;74.0;2.0;4922.0;2100.0;2822.0;4963.0;65.0;...;155.0
4301;Baldingen;2020-09-27;196.0;129.0;...;...;129.0;58.0;71.0;124.0;2.0;...;7.0
4302;Böbikon;2020-09-27;129.0;99.0;2.0;...;97.0;56.0;41.0;74.0;1.0;...;26.0
4303;Böttstein;2020-09-27;1988.0;1103.0;10.0;...;1093.0;638.0;455.0;1095.0;13.0;...;28.0
4304;Döttingen;2020-09-27;2018.0;1125.0;27.0;...;1098.0;564.0;534.0;1117.0;11.0;...;32.0
4305;Endingen;2020-09-27;1666.0;1054.0;23.0;...;1031.0;524.0;507.0;1034.0;7.0;...;34.0
4306;Fisibach;2020-09-27;277.0;163.0;1.0;...;162.0;103.0;59.0;154.0;1.0;...;11.0
4307;Full-Reuenthal;2020-09-27;581.0;368.0;5.0;...;363.0;170.0;193.0;345.0;4.0;...;29.0
4308;Kaiserstuhl;2020-09-27;231.0;150.0;4.0;...;146.0;44.0;102.0;135.0;4.0;...;19.0
4309;Klingnau;2020-09-27;2070.0;1221.0;10.0;7.0;1204.0;633.0;571.0;1190.0;21.0;...;64.0
4310;Koblenz;2020-09-27;799.0;429.0;5.0;...;424.0;207.0;217.0;427.0;8.0;...;15.0
4311;Leibstadt;2020-09-27;736.0;452.0;4.0;...;448.0;246.0;202.0;436.0;2.0;...;21.0
4312;Lengnau (AG);2020-09-27;1872.0;1111.0;15.0;...;1096.0;596.0;500.0;1087.0;10.0;...;51.0
4313;Leuggern;2020-09-27;1453.0;897.0;7.0;1.0;889.0;476.0;413.0;883.0;3.0;...;28.0
4314;Mellikon;2020-09-27;156.0;112.0;1.0;...;111.0;49.0;62.0;86.0;2.0;...;28.0
4315;Rekingen (AG);2020-09-27;524.0;314.0;2.0;...;312.0;131.0;181.0;305.0;1.0;...;14.0
4316;Rietheim;2020-09-27;413.0;234.0;4.0;...;230.0;117.0;113.0;232.0;5.0;...;12.0
4317;Rümikon;2020-09-27;186.0;116.0;...;...;116.0;50.0;66.0;118.0;5.0;...;4.0
4318;Schneisingen;2020-09-27;1098.0;742.0;7.0;...;735.0;391.0;344.0;704.0;8.0;...;50.0
4319;Siglistorf;2020-09-27;414.0;273.0;1.0;...;272.0;132.0;140.0;274.0;3.0;...;7.0
4320;Tegerfelden;2020-09-27;803.0;481.0;6.0;...;475.0;255.0;220.0;461.0;9.0;...;33.0
4322;Wislikofen;2020-09-27;245.0;179.0;2.0;...;177.0;103.0;74.0;178.0;3.0;...;6.0
4323;Bad Zurzach;2020-09-27;2284.0;1248.0;14.0;...;1234.0;647.0;587.0;1194.0;33.0;...;105.0
4330;nicht zuteilbar;2020-09-27;10845.0;2787.0;51.0;...;2736.0;1532.0;1204.0;2826.0;15.0;...;1.0
