BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
4068;Hägglingen;2018-09-23;1692.0;...;618.0;6.0;...;612.0;123.0;489.0;606.0;8.0;...;28.0
4071;Jonen;2018-09-23;1392.0;...;544.0;6.0;...;538.0;101.0;437.0;540.0;...;...;6.0
4072;Niederwil (AG);2018-09-23;1906.0;...;636.0;6.0;...;630.0;87.0;543.0;619.0;8.0;...;27.0
4073;Oberlunkhofen;2018-09-23;1443.0;...;614.0;3.0;...;611.0;129.0;482.0;621.0;7.0;...;5.0
4074;Oberwil-Lieli;2018-09-23;1718.0;...;802.0;2.0;...;800.0;146.0;654.0;781.0;7.0;...;30.0
4075;Rudolfstetten-Friedlisberg;2018-09-23;2625.0;...;907.0;6.0;1.0;900.0;183.0;717.0;898.0;12.0;...;29.0
4076;Sarmenstorf;2018-09-23;1953.0;...;678.0;9.0;...;669.0;101.0;568.0;662.0;15.0;...;40.0
4077;Tägerig;2018-09-23;958.0;...;340.0;1.0;...;339.0;82.0;257.0;335.0;3.0;...;12.0
4078;Uezwil;2018-09-23;357.0;...;108.0;1.0;...;107.0;24.0;83.0;107.0;...;...;3.0
4079;Unterlunkhofen;2018-09-23;1031.0;...;392.0;6.0;...;386.0;82.0;304.0;401.0;17.0;...;12.0
4080;Villmergen;2018-09-23;4100.0;...;1222.0;11.0;...;1211.0;233.0;978.0;1219.0;21.0;...;46.0
4081;Widen;2018-09-23;2542.0;...;1120.0;9.0;...;1111.0;183.0;928.0;1110.0;15.0;...;31.0
4082;Wohlen (AG);2018-09-23;8359.0;...;2977.0;20.0;...;2957.0;620.0;2337.0;2842.0;44.0;...;202.0
4083;Zufikon;2018-09-23;2942.0;...;1143.0;10.0;...;1133.0;223.0;910.0;1133.0;21.0;...;33.0
4084;Islisberg;2018-09-23;437.0;...;184.0;1.0;...;183.0;36.0;147.0;183.0;4.0;...;5.0
4091;Auenstein;2018-09-23;1152.0;...;462.0;3.0;...;459.0;79.0;380.0;471.0;11.0;...;6.0
4092;Birr;2018-09-23;1918.0;...;583.0;6.0;...;577.0;103.0;474.0;592.0;15.0;...;6.0
4093;Birrhard;2018-09-23;533.0;...;195.0;2.0;...;193.0;34.0;159.0;190.0;...;...;6.0
4094;Bözen;2018-09-23;536.0;...;204.0;1.0;...;203.0;41.0;162.0;208.0;4.0;...;11.0
4095;Brugg;2018-09-23;6753.0;...;3001.0;36.0;1.0;2964.0;790.0;2174.0;2932.0;22.0;...;115.0
4096;Effingen;2018-09-23;410.0;...;162.0;1.0;...;161.0;36.0;125.0;154.0;...;...;8.0
4097;Elfingen;2018-09-23;223.0;...;81.0;3.0;...;78.0;19.0;59.0;82.0;2.0;...;4.0
4099;Habsburg;2018-09-23;335.0;...;176.0;2.0;...;174.0;24.0;150.0;173.0;...;...;4.0
4100;Hausen (AG);2018-09-23;2253.0;...;862.0;7.0;...;855.0;132.0;723.0;867.0;12.0;...;7.0
4104;Lupfig;2018-09-23;2108.0;...;809.0;5.0;1.0;803.0;155.0;648.0;813.0;10.0;...;10.0
4105;Mandach;2018-09-23;238.0;...;102.0;...;...;102.0;26.0;76.0;90.0;...;...;14.0
4106;Mönthal;2018-09-23;300.0;...;119.0;...;...;119.0;29.0;90.0;116.0;1.0;...;4.0
4107;Mülligen;2018-09-23;736.0;...;255.0;2.0;...;253.0;41.0;212.0;256.0;7.0;...;6.0
4110;Remigen;2018-09-23;745.0;...;338.0;2.0;...;336.0;57.0;279.0;339.0;3.0;...;5.0
4111;Riniken;2018-09-23;983.0;...;422.0;5.0;...;417.0;81.0;336.0;412.0;3.0;...;15.0
4112;Rüfenach;2018-09-23;636.0;...;278.0;6.0;...;272.0;50.0;222.0;286.0;3.0;...;1.0
4114;Schinznach-Bad;2018-09-23;772.0;...;291.0;3.0;...;288.0;58.0;230.0;292.0;3.0;...;2.0
4117;Thalheim (AG);2018-09-23;631.0;...;252.0;1.0;...;251.0;55.0;196.0;252.0;3.0;...;3.0
4120;Veltheim (AG);2018-09-23;992.0;...;343.0;5.0;...;338.0;92.0;246.0;325.0;3.0;...;23.0
4121;Villigen;2018-09-23;1267.0;...;514.0;2.0;...;512.0;99.0;413.0;508.0;7.0;...;18.0
4122;Villnachern;2018-09-23;1104.0;...;494.0;12.0;...;482.0;100.0;382.0;519.0;12.0;...;7.0
4123;Windisch;2018-09-23;4429.0;...;1728.0;19.0;...;1709.0;501.0;1208.0;1700.0;14.0;...;51.0
4124;Bözberg;2018-09-23;1177.0;...;480.0;11.0;...;469.0;122.0;347.0;478.0;6.0;...;11.0
4125;Schinznach;2018-09-23;1574.0;...;610.0;4.0;...;606.0;164.0;442.0;619.0;3.0;...;8.0
4131;Beinwil am See;2018-09-23;2295.0;...;916.0;7.0;...;909.0;267.0;642.0;912.0;12.0;...;35.0
4132;Birrwil;2018-09-23;879.0;...;376.0;7.0;...;369.0;71.0;298.0;373.0;5.0;...;16.0
