BFSNR;NAME;DATUM;STIMMBERECHTIGTE;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN
4235;Mühlau;2023-06-18;813.0;327.0;1.0;0.0;4.0;320.0;4.0;0.0;316.0;133.0;183.0
4236;Muri (AG);2023-06-18;5381.0;1956.0;14.0;0.0;36.0;1895.0;57.0;0.0;1838.0;937.0;901.0
4237;Oberrüti;2023-06-18;1046.0;423.0;4.0;0.0;4.0;401.0;17.0;0.0;384.0;171.0;213.0
4238;Rottenschwil;2023-06-18;670.0;276.0;1.0;0.0;11.0;277.0;11.0;0.0;266.0;112.0;154.0
4239;Sins;2023-06-18;2822.0;1095.0;18.0;0.0;18.0;1056.0;38.0;0.0;1018.0;422.0;596.0
4240;Waltenschwil;2023-06-18;2095.0;828.0;8.0;0.0;11.0;811.0;17.0;0.0;794.0;364.0;430.0
4251;Hellikon;2023-06-18;611.0;252.0;3.0;0.0;4.0;242.0;7.0;0.0;235.0;90.0;145.0
4252;Kaiseraugst;2023-06-18;3204.0;1125.0;15.0;0.0;50.0;1124.0;39.0;0.0;1085.0;651.0;434.0
4253;Magden;2023-06-18;2675.0;1285.0;16.0;0.0;35.0;1264.0;40.0;0.0;1224.0;667.0;557.0
4254;Möhlin;2023-06-18;6750.0;2390.0;29.0;0.0;51.0;2349.0;77.0;0.0;2272.0;1210.0;1062.0
4255;Mumpf;2023-06-18;884.0;300.0;4.0;0.0;5.0;287.0;8.0;0.0;279.0;138.0;141.0
4256;Obermumpf;2023-06-18;722.0;280.0;6.0;0.0;2.0;268.0;16.0;0.0;252.0;119.0;133.0
4257;Olsberg;2023-06-18;263.0;134.0;1.0;0.0;1.0;131.0;5.0;0.0;126.0;78.0;48.0
4258;Rheinfelden;2023-06-18;7590.0;2972.0;41.0;0.0;112.0;2951.0;117.0;0.0;2834.0;1736.0;1098.0
4259;Schupfart;2023-06-18;588.0;228.0;2.0;0.0;3.0;220.0;4.0;0.0;216.0;81.0;135.0
4260;Stein (AG);2023-06-18;1624.0;695.0;19.0;0.0;26.0;701.0;23.0;0.0;678.0;345.0;333.0
4261;Wallbach;2023-06-18;1410.0;613.0;12.0;0.0;15.0;593.0;20.0;0.0;573.0;286.0;287.0
4262;Wegenstetten;2023-06-18;765.0;314.0;1.0;0.0;3.0;309.0;16.0;0.0;293.0;121.0;172.0
4263;Zeiningen;2023-06-18;1659.0;613.0;6.0;0.0;6.0;599.0;20.0;0.0;579.0;282.0;297.0
4264;Zuzgen;2023-06-18;611.0;277.0;2.0;0.0;5.0;269.0;10.0;0.0;259.0;116.0;143.0
4271;Aarburg;2023-06-18;4001.0;1242.0;10.0;0.0;49.0;1232.0;43.0;0.0;1189.0;586.0;603.0
